,gender,income,total_completed,total_viewed,total_received,total_spent,avg_spent,completed_bogo,completed_discount,age_range,num_transactions_range,bogos_received_range,discounts_received_range,percent_viewed_range,percent_completed_range,discount_percent_completed_range,bogo_percent_completed_range,labels
38,F,56000,3,3,5,150,11,1,2,30-39,10-14,0-4,5-9,60-69,60-69,40-49,20-29,0
39,M,96000,4,4,4,320,26,1,3,40-49,10-14,0-4,5-9,90-100,90-100,30-39,30-39,0
40,F,93000,5,5,5,225,28,3,2,70-79,5-9,5-9,5-9,90-100,90-100,30-39,30-39,2
41,M,48000,0,2,4,17,2,1,2,40-49,5-9,0-4,0-4,50-59,0-9,60-69,50-59,2
42,M,50000,1,2,4,38,3,0,3,20-29,10-14,0-4,5-9,50-59,20-29,60-69,50-59,-1
43,M,35000,4,4,4,150,8,1,2,40-49,15-19,0-4,5-9,90-100,90-100,20-29,30-39,0
44,M,56000,3,3,3,121,13,1,2,60-69,5-9,0-4,5-9,90-100,90-100,30-39,30-39,2
45,M,56000,2,2,3,118,16,0,2,30-39,5-9,0-4,5-9,60-69,60-69,40-49,30-39,2
46,F,47000,1,3,5,22,3,1,2,70-79,5-9,0-4,0-4,60-69,20-29,50-59,20-29,2
47,M,87000,5,5,5,177,22,2,2,60-69,5-9,5-9,5-9,90-100,90-100,30-39,20-29,2
48,M,52000,2,3,3,135,12,1,1,70-79,10-14,0-4,0-4,90-100,60-69,30-39,30-39,0
49,M,76000,4,5,5,200,16,1,2,60-69,10-14,0-4,5-9,90-100,80-89,20-29,30-39,0
50,M,51000,0,4,5,23,2,2,1,70-79,10-14,0-4,0-4,80-89,0-9,90-100,50-59,0
51,M,64000,1,2,3,110,13,1,1,70-79,5-9,0-4,0-4,60-69,30-39,30-39,90-100,2
52,M,98000,2,0,3,27,27,2,1,50-59,0-4,0-4,0-4,0-9,60-69,50-59,60-69,-1
53,F,72000,5,4,6,167,18,2,2,50-59,5-9,5-9,5-9,60-69,80-89,20-29,30-39,2
54,F,117000,5,4,5,303,30,3,1,50-59,10-14,10-14,0-4,80-89,90-100,50-59,20-29,0
55,F,55000,1,3,5,20,2,1,3,50-59,5-9,0-4,5-9,60-69,20-29,60-69,20-29,-1
56,F,112000,2,5,5,67,33,0,3,60-69,0-4,0-4,10-14,90-100,40-49,30-39,20-29,0
57,F,77000,1,3,3,155,19,1,1,60-69,5-9,0-4,0-4,90-100,30-39,30-39,50-59,2
58,F,85000,4,4,4,290,19,1,2,50-59,15-19,0-4,5-9,90-100,90-100,20-29,30-39,0
59,F,36000,0,3,5,17,3,0,2,40-49,5-9,0-4,5-9,60-69,0-9,30-39,30-39,2
60,M,41000,0,2,2,11,2,1,0,30-39,0-4,0-4,0-4,90-100,0-9,0-9,50-59,0
61,M,89000,2,4,6,45,22,1,2,50-59,0-4,0-4,5-9,60-69,30-39,30-39,20-29,0
62,M,41000,3,4,6,75,3,2,2,50-59,20-24,0-4,5-9,60-69,50-59,20-29,50-59,0
63,M,35000,1,4,5,29,2,1,2,20-29,10-14,0-4,0-4,80-89,20-29,50-59,50-59,0
64,M,53000,0,3,4,8,1,1,0,40-49,5-9,0-4,0-4,70-79,0-9,0-9,20-29,1
65,F,91000,3,5,5,109,27,2,2,70-79,0-4,5-9,5-9,90-100,60-69,40-49,30-39,0
66,F,107000,4,4,5,298,29,0,2,70-79,10-14,0-4,10-14,80-89,80-89,10-19,30-39,0
67,M,66000,2,2,3,136,19,0,2,40-49,5-9,0-4,5-9,60-69,60-69,40-49,30-39,2
68,M,58000,3,6,6,126,12,1,0,70-79,10-14,5-9,0-4,90-100,50-59,0-9,10-19,0
69,F,53000,2,5,6,57,3,2,1,50-59,15-19,5-9,5-9,80-89,30-39,10-19,20-29,-1
70,F,57000,3,5,5,184,18,2,1,40-49,10-14,5-9,0-4,90-100,60-69,30-39,30-39,0
71,M,70000,4,4,4,140,15,1,3,60-69,5-9,0-4,5-9,90-100,90-100,30-39,30-39,2
72,F,87000,4,3,4,248,27,0,3,80+,5-9,0-4,10-14,70-79,90-100,20-29,30-39,2
73,M,51000,1,4,5,23,2,1,2,70-79,5-9,0-4,0-4,80-89,20-29,50-59,50-59,2
74,F,93000,4,5,5,297,24,1,2,50-59,10-14,0-4,5-9,90-100,80-89,20-29,30-39,0
75,F,98000,1,1,4,80,26,1,1,80+,0-4,0-4,0-4,20-29,20-29,90-100,20-29,-1
76,F,84000,1,0,5,34,17,1,2,60-69,0-4,0-4,0-4,0-9,20-29,50-59,90-100,-1
77,M,64000,1,2,3,44,3,2,0,60-69,10-14,5-9,0-4,60-69,30-39,0-9,40-49,0
78,M,54000,0,3,5,11,1,2,2,40-49,5-9,0-4,0-4,60-69,0-9,60-69,50-59,2
79,M,49000,5,5,6,200,11,2,2,60-69,15-19,5-9,5-9,80-89,80-89,20-29,30-39,0
80,F,73000,3,3,5,202,18,1,2,11-19,10-14,0-4,5-9,60-69,60-69,20-29,30-39,0
81,F,58000,3,4,5,163,16,2,1,60-69,10-14,5-9,0-4,80-89,60-69,30-39,30-39,0
82,F,72000,6,5,6,201,16,3,2,70-79,10-14,10-14,5-9,80-89,90-100,30-39,20-29,0
83,M,63000,4,5,5,224,17,1,2,70-79,10-14,0-4,5-9,90-100,80-89,20-29,30-39,0
84,M,78000,5,3,5,117,19,2,1,50-59,5-9,5-9,5-9,60-69,90-100,20-29,20-29,2
85,M,31000,1,2,4,30,6,3,0,50-59,5-9,5-9,0-4,50-59,20-29,0-9,50-59,-1
86,F,60000,3,4,4,705,58,2,1,30-39,10-14,5-9,0-4,90-100,70-79,30-39,30-39,0
87,F,44000,5,2,6,163,10,2,2,40-49,15-19,5-9,5-9,30-39,80-89,40-49,20-29,-1
88,F,114000,5,5,6,184,23,3,1,50-59,5-9,10-14,0-4,80-89,80-89,30-39,20-29,2
89,M,48000,0,1,3,6,2,1,1,70-79,0-4,0-4,0-4,30-39,0-9,50-59,50-59,0
90,M,47000,5,4,6,275,12,2,3,11-19,20-24,0-4,10-14,60-69,80-89,20-29,50-59,0
91,M,96000,4,5,5,138,27,2,2,50-59,5-9,5-9,5-9,90-100,80-89,20-29,40-49,2
92,F,98000,3,1,3,112,28,0,1,50-59,0-4,0-4,5-9,30-39,90-100,10-19,40-49,-1
93,M,46000,1,3,4,34,3,1,1,50-59,10-14,0-4,0-4,70-79,20-29,50-59,50-59,0
94,F,56000,2,4,5,40,5,1,1,50-59,5-9,0-4,5-9,80-89,40-49,20-29,50-59,2
95,F,37000,3,5,5,51,7,4,1,60-69,5-9,10-14,0-4,90-100,60-69,30-39,40-49,2
96,M,57000,0,3,4,30,2,1,1,70-79,10-14,0-4,0-4,70-79,0-9,90-100,20-29,0
97,F,66000,2,4,4,50,12,2,1,60-69,0-4,5-9,0-4,90-100,50-59,30-39,40-49,0
98,M,46000,0,5,5,16,3,2,1,80+,5-9,5-9,0-4,90-100,0-9,50-59,30-39,2
99,M,71000,0,3,5,13,3,2,2,20-29,0-4,0-4,0-4,60-69,0-9,60-69,60-69,0
100,F,58000,1,5,5,30,2,1,2,20-29,10-14,0-4,5-9,90-100,20-29,20-29,50-59,-1
101,M,70000,0,3,4,2,2,2,2,40-49,0-4,0-4,0-4,70-79,0-9,60-69,50-59,0
102,F,65000,3,4,4,124,17,1,2,80+,5-9,0-4,5-9,90-100,70-79,30-39,30-39,2
103,F,79000,2,5,5,24,12,2,2,40-49,0-4,5-9,5-9,90-100,40-49,40-49,40-49,0
104,M,67000,3,3,4,317,17,2,0,70-79,15-19,5-9,0-4,70-79,70-79,0-9,20-29,-1
105,F,94000,3,5,5,195,24,1,2,50-59,5-9,0-4,5-9,90-100,60-69,30-39,30-39,2
106,M,66000,2,3,5,272,14,1,0,50-59,15-19,5-9,0-4,60-69,40-49,0-9,10-19,0
107,M,31000,0,3,4,16,3,2,1,40-49,5-9,0-4,0-4,70-79,0-9,90-100,50-59,2
108,M,30000,0,2,4,9,1,1,1,50-59,5-9,0-4,0-4,50-59,0-9,90-100,20-29,2
109,M,55000,4,3,4,156,17,3,0,30-39,5-9,10-14,0-4,70-79,90-100,0-9,20-29,2
110,M,69000,1,2,4,60,20,1,1,70-79,0-4,0-4,0-4,50-59,20-29,50-59,50-59,0
111,M,60000,2,3,5,30,5,2,2,60-69,5-9,0-4,0-4,60-69,40-49,50-59,50-59,2
112,F,87000,2,4,4,53,26,2,1,60-69,0-4,5-9,0-4,90-100,50-59,50-59,20-29,0
113,M,53000,1,2,2,55,13,1,1,70-79,0-4,0-4,0-4,90-100,50-59,30-39,50-59,0
114,F,87000,4,5,5,114,22,1,4,70-79,5-9,0-4,10-14,90-100,80-89,30-39,50-59,2
115,F,85000,4,5,6,193,27,1,3,50-59,5-9,0-4,10-14,80-89,60-69,30-39,30-39,2
116,M,66000,2,3,3,74,14,1,1,40-49,5-9,0-4,0-4,90-100,60-69,30-39,30-39,2
117,M,69000,0,2,4,0,0,2,2,20-29,0-4,0-4,0-4,50-59,0-9,60-69,60-69,0
118,M,108000,2,4,4,127,31,1,2,60-69,0-4,0-4,5-9,90-100,50-59,40-49,30-39,0
119,M,61000,3,2,5,24,4,0,2,60-69,5-9,0-4,5-9,40-49,60-69,20-29,30-39,2
120,M,43000,1,1,4,19,2,0,3,30-39,5-9,0-4,5-9,20-29,20-29,50-59,30-39,-1
121,F,67000,1,5,5,562,51,0,1,30-39,10-14,0-4,0-4,90-100,20-29,30-39,30-39,0
122,M,59000,1,2,3,38,6,1,1,40-49,5-9,0-4,0-4,60-69,30-39,50-59,30-39,2
123,M,58000,0,5,5,17,8,1,3,60-69,0-4,0-4,5-9,90-100,0-9,50-59,50-59,0
124,M,80000,1,3,3,53,17,1,0,40-49,0-4,0-4,0-4,90-100,30-39,0-9,30-39,0
125,M,33000,0,3,6,8,1,3,3,70-79,5-9,5-9,0-4,50-59,0-9,70-79,60-69,2
126,F,49000,2,3,5,30,3,1,3,11-19,10-14,0-4,5-9,60-69,40-49,30-39,50-59,0
127,F,42000,2,1,2,71,10,2,0,30-39,5-9,5-9,0-4,50-59,90-100,0-9,40-49,-1
128,M,50000,1,5,5,33,11,1,2,60-69,0-4,0-4,5-9,90-100,20-29,40-49,50-59,0
129,M,42000,0,2,5,5,1,0,2,50-59,0-4,0-4,5-9,40-49,0-9,40-49,50-59,-1
130,M,64000,3,2,3,150,16,2,0,30-39,5-9,5-9,0-4,60-69,90-100,0-9,20-29,2
131,F,77000,5,5,6,106,21,2,3,60-69,5-9,5-9,10-14,80-89,80-89,20-29,40-49,2
132,F,77000,2,3,5,33,16,3,1,60-69,0-4,5-9,0-4,60-69,40-49,50-59,40-49,0
133,F,51000,1,4,4,25,12,1,2,50-59,0-4,0-4,0-4,90-100,20-29,50-59,30-39,0
134,M,63000,0,5,5,19,3,3,1,20-29,5-9,5-9,0-4,90-100,0-9,50-59,50-59,2
135,M,41000,3,2,4,118,10,1,3,30-39,10-14,0-4,5-9,50-59,70-79,50-59,30-39,-1
136,M,60000,3,4,5,105,4,3,1,40-49,25-29,5-9,0-4,80-89,60-69,30-39,30-39,0
137,M,67000,1,2,3,22,4,0,3,80+,5-9,0-4,5-9,60-69,30-39,50-59,30-39,2
138,F,85000,3,3,5,180,22,1,2,50-59,5-9,0-4,5-9,60-69,60-69,40-49,50-59,2
139,F,85000,4,4,5,177,22,2,2,50-59,5-9,5-9,5-9,80-89,80-89,40-49,30-39,2
140,M,92000,5,5,5,330,22,1,2,50-59,15-19,5-9,5-9,90-100,90-100,20-29,10-19,0
141,M,44000,2,4,5,58,3,2,3,40-49,15-19,0-4,5-9,80-89,40-49,40-49,50-59,0
142,M,72000,3,6,6,66,22,1,2,50-59,0-4,0-4,5-9,90-100,50-59,20-29,30-39,0
143,M,53000,3,3,4,125,12,1,1,60-69,10-14,5-9,0-4,70-79,70-79,50-59,10-19,0
144,M,62000,0,1,5,12,3,0,3,40-49,0-4,0-4,5-9,20-29,0-9,60-69,10-19,-1
145,M,65000,0,3,3,16,2,2,0,50-59,5-9,0-4,0-4,90-100,0-9,0-9,50-59,1
146,F,50000,2,4,4,89,11,2,0,20-29,5-9,5-9,0-4,90-100,50-59,0-9,20-29,2
147,M,107000,2,2,5,253,31,0,3,60-69,5-9,0-4,5-9,40-49,40-49,30-39,20-29,2
148,F,83000,1,1,2,25,25,2,0,70-79,0-4,0-4,0-4,50-59,50-59,0-9,50-59,-1
149,M,66000,5,3,6,87,3,0,4,70-79,25-29,0-4,10-14,50-59,80-89,20-29,50-59,-1
150,M,72000,5,3,5,261,18,2,2,30-39,10-14,5-9,0-4,60-69,90-100,50-59,20-29,0
151,F,69000,3,5,5,184,18,1,2,50-59,10-14,0-4,5-9,90-100,60-69,30-39,30-39,0
152,M,94000,3,4,5,162,27,1,1,40-49,5-9,0-4,5-9,80-89,60-69,20-29,30-39,2
153,M,87000,0,2,2,155,19,0,0,80+,5-9,0-4,0-4,90-100,0-9,0-9,30-39,1
154,M,57000,1,4,4,79,19,0,1,40-49,0-4,0-4,0-4,90-100,20-29,30-39,30-39,0
155,M,34000,0,2,3,10,2,2,0,60-69,0-4,0-4,0-4,60-69,0-9,0-9,60-69,0
156,M,63000,0,2,3,6,3,0,2,50-59,0-4,0-4,0-4,60-69,0-9,60-69,60-69,0
157,F,89000,4,3,5,226,25,1,3,50-59,5-9,0-4,10-14,60-69,80-89,30-39,50-59,2
158,M,69000,3,3,4,143,15,0,1,60-69,5-9,0-4,5-9,70-79,70-79,10-19,50-59,2
159,M,52000,2,3,4,13,2,2,2,20-29,5-9,5-9,0-4,70-79,50-59,60-69,30-39,-1
160,M,44000,2,3,6,17,2,1,3,60-69,5-9,0-4,10-14,50-59,30-39,30-39,90-100,2
161,F,54000,0,2,5,21,3,1,3,50-59,5-9,0-4,5-9,40-49,0-9,60-69,50-59,2
162,F,54000,0,3,4,17,2,2,1,60-69,5-9,0-4,0-4,70-79,0-9,50-59,60-69,2
163,M,61000,2,2,5,155,15,2,2,20-29,10-14,5-9,0-4,40-49,40-49,90-100,30-39,-1
164,M,35000,0,3,5,10,2,1,3,20-29,0-4,0-4,0-4,60-69,0-9,70-79,20-29,0
165,F,105000,4,3,4,212,23,1,3,70-79,5-9,0-4,5-9,70-79,90-100,30-39,30-39,2
166,F,64000,4,4,5,146,16,2,1,60-69,5-9,5-9,0-4,80-89,80-89,30-39,20-29,2
167,M,73000,3,5,5,232,21,2,0,60-69,10-14,5-9,0-4,90-100,60-69,0-9,20-29,0
168,M,74000,1,1,1,796,99,0,1,30-39,5-9,0-4,0-4,90-100,90-100,30-39,20-29,2
169,M,82000,1,1,3,62,20,1,1,60-69,0-4,0-4,0-4,30-39,30-39,50-59,50-59,0
170,F,92000,3,4,4,23,23,3,1,50-59,0-4,5-9,0-4,90-100,70-79,30-39,30-39,0
171,M,70000,3,4,4,218,21,1,1,50-59,10-14,5-9,0-4,90-100,70-79,30-39,10-19,0
172,M,118000,3,5,5,185,26,3,0,50-59,5-9,10-14,0-4,90-100,60-69,0-9,20-29,2
173,F,109000,2,2,2,37,18,2,0,70-79,0-4,5-9,0-4,90-100,90-100,0-9,30-39,-1
174,M,73000,1,3,6,36,4,2,2,80+,5-9,0-4,5-9,50-59,10-19,40-49,50-59,2
175,M,38000,0,3,6,10,2,1,3,60-69,5-9,0-4,5-9,50-59,0-9,60-69,90-100,2
176,F,99000,3,5,6,163,23,2,1,50-59,5-9,5-9,0-4,80-89,50-59,30-39,30-39,2
177,M,72000,2,2,4,16,5,2,2,80+,0-4,0-4,0-4,50-59,50-59,50-59,50-59,0
178,M,45000,1,2,4,10,2,1,1,80+,5-9,0-4,0-4,50-59,20-29,20-29,50-59,-1
179,F,67000,0,3,5,19,2,2,1,30-39,5-9,0-4,0-4,60-69,0-9,50-59,60-69,2
180,M,53000,1,3,3,69,11,2,0,40-49,5-9,5-9,0-4,90-100,30-39,0-9,40-49,2
181,F,95000,3,2,5,321,29,2,1,50-59,10-14,5-9,0-4,40-49,60-69,50-59,30-39,0
182,F,74000,2,2,3,254,18,2,0,40-49,10-14,5-9,0-4,60-69,60-69,0-9,40-49,0
183,F,59000,1,3,6,24,3,3,1,60-69,5-9,5-9,0-4,50-59,10-19,90-100,50-59,2
184,M,54000,2,3,4,164,12,1,1,80+,10-14,0-4,0-4,70-79,50-59,30-39,30-39,0
185,M,101000,1,3,4,160,32,0,1,80+,5-9,0-4,0-4,70-79,20-29,30-39,60-69,2
186,M,62000,4,4,4,142,15,1,2,60-69,5-9,0-4,5-9,90-100,90-100,20-29,30-39,2
187,F,110000,3,2,5,102,20,2,3,60-69,5-9,0-4,5-9,40-49,60-69,50-59,50-59,-1
188,F,51000,0,4,4,72,14,1,2,40-49,5-9,0-4,0-4,90-100,0-9,50-59,50-59,2
189,F,99000,1,3,4,161,23,1,1,70-79,5-9,0-4,0-4,70-79,20-29,20-29,50-59,2
190,M,30000,0,1,3,12,2,0,2,70-79,5-9,0-4,0-4,30-39,0-9,90-100,50-59,2
191,F,114000,5,4,6,183,26,2,1,70-79,5-9,10-14,0-4,60-69,80-89,20-29,10-19,2
192,M,96000,4,5,5,140,23,2,2,80+,5-9,5-9,5-9,90-100,80-89,30-39,30-39,2
193,M,36000,1,4,6,12,2,2,2,60-69,5-9,0-4,5-9,60-69,10-19,30-39,50-59,2
194,F,56000,6,5,6,164,16,2,3,70-79,10-14,5-9,5-9,80-89,90-100,30-39,20-29,0
195,M,36000,1,3,6,21,3,0,3,40-49,5-9,0-4,5-9,50-59,10-19,30-39,20-29,2
196,M,73000,1,1,1,69,6,0,1,20-29,10-14,0-4,0-4,90-100,90-100,30-39,20-29,0
197,M,70000,0,2,4,13,2,3,1,20-29,5-9,5-9,0-4,50-59,0-9,90-100,60-69,2
198,M,106000,1,4,5,171,28,1,2,60-69,5-9,0-4,0-4,80-89,20-29,50-59,20-29,2
199,F,80000,5,6,6,222,22,2,2,70-79,10-14,5-9,5-9,90-100,80-89,20-29,30-39,0
200,F,66000,5,5,5,145,14,2,2,60-69,10-14,5-9,5-9,90-100,90-100,20-29,30-39,0
201,M,64000,3,4,5,261,16,1,2,30-39,15-19,0-4,5-9,80-89,60-69,40-49,30-39,0
202,M,60000,0,1,4,15,2,1,1,50-59,5-9,0-4,0-4,20-29,0-9,30-39,50-59,-1
203,M,54000,5,6,6,700,35,1,2,30-39,20-24,0-4,10-14,90-100,80-89,10-19,30-39,0
204,M,54000,4,5,6,252,13,2,3,50-59,15-19,0-4,5-9,80-89,60-69,30-39,50-59,0
205,F,92000,1,4,4,66,33,2,1,40-49,0-4,0-4,0-4,90-100,20-29,30-39,50-59,0
206,M,48000,1,4,5,19,2,1,2,40-49,5-9,0-4,5-9,80-89,20-29,40-49,50-59,2
207,M,38000,4,5,6,172,9,2,0,30-39,15-19,10-14,0-4,80-89,60-69,0-9,10-19,0
208,M,69000,3,2,4,167,20,0,3,30-39,5-9,0-4,5-9,50-59,70-79,40-49,10-19,2
209,M,86000,3,4,4,241,21,1,2,40-49,10-14,0-4,5-9,90-100,70-79,30-39,30-39,0
210,M,34000,3,4,4,88,7,2,0,30-39,10-14,5-9,0-4,90-100,70-79,0-9,20-29,0
211,F,101000,3,1,3,187,37,1,1,70-79,5-9,0-4,0-4,30-39,90-100,20-29,30-39,-1
212,F,71000,2,3,6,274,18,1,1,80+,15-19,0-4,0-4,50-59,30-39,30-39,30-39,-1
213,F,69000,4,6,6,121,15,3,2,70-79,5-9,5-9,5-9,90-100,60-69,30-39,30-39,2
214,F,71000,5,4,5,240,17,3,1,70-79,10-14,5-9,5-9,80-89,90-100,10-19,30-39,0
215,F,59000,2,3,3,56,14,1,1,80+,0-4,0-4,0-4,90-100,60-69,30-39,30-39,0
216,M,70000,2,5,6,30,5,3,2,50-59,5-9,5-9,0-4,80-89,30-39,50-59,30-39,2
217,M,49000,3,5,5,74,3,1,2,20-29,20-24,0-4,5-9,90-100,60-69,30-39,30-39,0
218,M,53000,3,5,5,122,12,1,3,50-59,10-14,0-4,5-9,90-100,60-69,30-39,30-39,0
219,F,95000,4,3,5,179,25,2,1,60-69,5-9,10-14,0-4,60-69,80-89,50-59,20-29,2
220,M,39000,4,4,5,96,9,3,0,70-79,10-14,10-14,0-4,80-89,80-89,0-9,20-29,0
221,F,72000,5,5,5,113,18,1,1,60-69,5-9,5-9,5-9,90-100,90-100,10-19,10-19,2
222,F,68000,0,2,6,14,2,2,2,40-49,5-9,5-9,0-4,30-39,0-9,60-69,40-49,-1
223,M,71000,2,2,2,204,20,1,1,40-49,10-14,0-4,0-4,90-100,90-100,30-39,30-39,0
224,M,39000,0,2,5,5,1,1,2,50-59,5-9,0-4,0-4,40-49,0-9,60-69,20-29,2
225,M,76000,3,5,5,157,17,1,1,40-49,5-9,5-9,0-4,90-100,60-69,30-39,10-19,2
226,F,87000,3,2,4,223,20,1,2,50-59,10-14,0-4,0-4,50-59,70-79,50-59,30-39,-1
227,F,118000,1,2,4,54,27,2,1,60-69,0-4,0-4,0-4,50-59,20-29,50-59,60-69,0
228,O,94000,4,5,5,857,142,2,3,60-69,5-9,5-9,5-9,90-100,80-89,30-39,30-39,2
229,M,70000,3,3,4,153,17,0,3,80+,5-9,0-4,5-9,70-79,70-79,30-39,30-39,2
230,M,91000,3,4,5,139,23,2,2,40-49,5-9,5-9,5-9,80-89,60-69,30-39,40-49,2
231,M,71000,0,3,3,50,2,1,0,70-79,15-19,0-4,0-4,90-100,0-9,0-9,20-29,-1
232,M,73000,1,4,6,27,3,3,2,60-69,5-9,5-9,0-4,60-69,10-19,90-100,30-39,2
233,F,54000,5,5,5,220,15,1,3,50-59,10-14,5-9,5-9,90-100,90-100,30-39,10-19,0
234,M,39000,4,4,6,82,10,2,3,60-69,5-9,5-9,5-9,60-69,60-69,30-39,30-39,2
235,M,46000,2,2,6,141,14,3,2,50-59,10-14,5-9,0-4,30-39,30-39,50-59,50-59,-1
236,F,40000,3,5,5,110,13,3,0,30-39,5-9,10-14,0-4,90-100,60-69,0-9,20-29,2
237,F,75000,2,2,4,99,19,1,1,70-79,5-9,0-4,0-4,50-59,50-59,30-39,30-39,2
238,F,63000,2,4,4,217,15,1,1,80+,10-14,0-4,0-4,90-100,50-59,30-39,30-39,0
239,F,40000,5,2,5,610,43,1,3,20-29,10-14,0-4,10-14,40-49,90-100,30-39,50-59,0
240,F,53000,2,3,3,83,11,1,2,50-59,5-9,0-4,5-9,90-100,60-69,30-39,50-59,2
241,M,90000,3,5,6,99,33,2,3,50-59,0-4,0-4,5-9,80-89,50-59,30-39,50-59,0
242,M,95000,2,2,5,71,23,0,2,70-79,0-4,0-4,5-9,40-49,40-49,20-29,50-59,-1
243,F,74000,2,2,4,100,25,1,1,40-49,0-4,0-4,0-4,50-59,50-59,20-29,50-59,0
244,M,50000,3,5,5,125,12,2,2,30-39,10-14,5-9,5-9,90-100,60-69,20-29,40-49,0
245,M,57000,3,5,5,308,14,1,2,60-69,20-24,0-4,5-9,90-100,60-69,30-39,30-39,0
246,F,81000,4,5,5,189,21,2,1,60-69,5-9,5-9,0-4,90-100,80-89,30-39,20-29,2
247,F,53000,3,3,4,55,13,1,3,40-49,0-4,0-4,5-9,70-79,70-79,40-49,30-39,0
248,M,32000,3,3,5,93,7,1,2,20-29,10-14,5-9,0-4,60-69,60-69,50-59,20-29,0
