,gender,income,total_completed,total_viewed,total_received,total_spent,avg_spent,completed_bogo,completed_discount,age_range,num_transactions_range,bogos_received_range,discounts_received_range,percent_viewed_range,percent_completed_range,discount_percent_completed_range,bogo_percent_completed_range
85,1,0.011111111111111183,1,2,4,0.018656716417910446,0.013303769401330379,3,0,4,6,3,0,5,2,0,5
86,0,0.33333333333333337,3,4,4,0.4384328358208955,0.1286031042128603,2,1,2,1,3,0,9,7,3,3
87,0,0.1555555555555556,5,2,6,0.1013681592039801,0.022172949002217293,2,2,3,2,3,3,3,8,4,2
88,0,0.9333333333333333,5,5,6,0.11442786069651742,0.050997782705099776,3,1,4,6,1,0,8,8,3,2
89,1,0.20000000000000004,0,1,3,0.0037313432835820864,0.004434589800443461,1,1,6,0,0,0,3,0,5,5
90,1,0.18888888888888894,5,4,6,0.17101990049751242,0.026607538802660754,2,3,0,3,0,1,6,8,2,5
91,1,0.7333333333333334,4,5,5,0.08582089552238806,0.05986696230598669,2,2,4,6,3,3,9,8,2,4
92,0,0.7555555555555555,3,1,3,0.06965174129353234,0.06208425720620842,0,1,4,0,0,3,3,9,1,4
93,1,0.1777777777777778,1,3,4,0.021144278606965175,0.006651884700665186,1,1,4,1,0,0,7,2,5,5
94,0,0.2888888888888889,2,4,5,0.02487562189054726,0.011086474501108647,1,1,4,6,0,3,8,4,2,5
95,0,0.07777777777777783,3,5,5,0.031716417910447756,0.015521064301552106,4,1,5,6,1,0,9,6,3,4
96,1,0.30000000000000004,0,3,4,0.018656716417910446,0.004434589800443461,1,1,6,1,0,0,7,0,9,2
97,0,0.4,2,4,4,0.031094527363184077,0.026607538802660754,2,1,5,0,3,0,9,5,3,4
98,1,0.1777777777777778,0,5,5,0.009950248756218902,0.006651884700665186,2,1,7,6,3,0,9,0,5,3
99,1,0.4555555555555556,0,3,5,0.008084577114427859,0.006651884700665186,2,2,1,0,0,0,6,0,6,6
100,0,0.3111111111111111,1,5,5,0.018656716417910446,0.004434589800443461,1,2,1,1,0,3,9,2,2,5
101,1,0.4444444444444445,0,3,4,0.0012437810945273645,0.004434589800443461,2,2,3,0,0,0,7,0,6,5
102,0,0.3888888888888889,3,4,4,0.07711442786069651,0.0376940133037694,1,2,7,6,0,3,9,7,3,3
103,0,0.5444444444444445,2,5,5,0.01492537313432836,0.026607538802660754,2,2,3,0,3,3,9,4,4,4
104,1,0.41111111111111115,3,3,4,0.19713930348258707,0.0376940133037694,2,0,6,2,3,0,7,7,0,2
105,0,0.7111111111111111,3,5,5,0.12126865671641791,0.05321507760532151,1,2,4,6,0,3,9,6,3,3
106,1,0.4,2,3,5,0.1691542288557214,0.03104212860310421,1,0,4,2,3,0,6,4,0,1
107,1,0.011111111111111183,0,3,4,0.009950248756218902,0.006651884700665186,2,1,3,6,0,0,7,0,9,5
108,1,0.0,0,2,4,0.005597014925373137,0.0022172949002217286,1,1,4,6,0,0,5,0,9,2
109,1,0.2777777777777778,4,3,4,0.09701492537313433,0.0376940133037694,3,0,2,6,1,0,7,9,0,2
110,1,0.43333333333333335,1,2,4,0.03731343283582089,0.044345898004434586,1,1,6,0,0,0,5,2,5,5
111,1,0.33333333333333337,2,3,5,0.018656716417910446,0.011086474501108647,2,2,5,6,0,0,6,4,5,5
112,0,0.6333333333333333,2,4,4,0.03296019900497513,0.057649667405764965,2,1,5,0,3,0,9,5,5,2
113,1,0.2555555555555556,1,2,2,0.034203980099502485,0.028824833702882482,1,1,6,0,0,0,9,5,3,5
114,0,0.6333333333333333,4,5,5,0.0708955223880597,0.048780487804878044,1,4,6,6,0,1,9,8,3,5
115,0,0.6111111111111112,4,5,6,0.12002487562189054,0.05986696230598669,1,3,4,6,0,1,8,6,3,3
116,1,0.4,2,3,3,0.046019900497512436,0.03104212860310421,1,1,3,6,0,0,9,6,3,3
117,1,0.43333333333333335,0,2,4,0.0,0.0,2,2,1,0,0,0,5,0,6,6
118,1,0.8666666666666667,2,4,4,0.07898009950248756,0.0687361419068736,1,2,5,0,0,3,9,5,4,3
119,1,0.3444444444444445,3,2,5,0.01492537313432836,0.008869179600886914,0,2,5,6,0,3,4,6,2,3
120,1,0.1444444444444445,1,1,4,0.011815920398009952,0.004434589800443461,0,3,2,6,0,3,2,2,5,3
121,0,0.41111111111111115,1,5,5,0.34950248756218905,0.11308203991130819,0,1,2,1,0,0,9,2,3,3
122,1,0.32222222222222224,1,2,3,0.023631840796019897,0.013303769401330379,1,1,3,6,0,0,6,3,5,3
123,1,0.3111111111111111,0,5,5,0.010572139303482588,0.017738359201773836,1,3,5,0,0,3,9,0,5,5
124,1,0.5555555555555556,1,3,3,0.03296019900497513,0.0376940133037694,1,0,3,0,0,0,9,3,0,3
125,1,0.03333333333333338,0,3,6,0.004975124378109451,0.0022172949002217286,3,3,6,6,3,0,5,0,7,6
126,0,0.21111111111111114,2,3,5,0.018656716417910446,0.006651884700665186,1,3,0,1,0,3,6,4,3,5
127,0,0.1333333333333334,2,1,2,0.04415422885572139,0.022172949002217293,2,0,2,6,3,0,5,9,0,4
128,1,0.22222222222222227,1,5,5,0.02052238805970149,0.024390243902439025,1,2,5,0,0,3,9,2,4,5
129,1,0.1333333333333334,0,2,5,0.0031094527363184077,0.0022172949002217286,0,2,4,0,0,3,4,0,4,5
130,1,0.3777777777777778,3,2,3,0.09328358208955223,0.03547671840354767,2,0,2,6,3,0,6,9,0,2
131,0,0.5222222222222223,5,5,6,0.06592039800995025,0.04656319290465632,2,3,5,6,3,1,8,8,2,4
132,0,0.5222222222222223,2,3,5,0.02052238805970149,0.03547671840354767,3,1,5,0,3,0,6,4,5,4
133,0,0.23333333333333336,1,4,4,0.015547263681592038,0.026607538802660754,1,2,4,0,0,0,9,2,5,3
134,1,0.3666666666666667,0,5,5,0.011815920398009952,0.006651884700665186,3,1,1,6,3,0,9,0,5,5
135,1,0.12222222222222229,3,2,4,0.07338308457711443,0.022172949002217293,1,3,2,1,0,3,5,7,5,3
136,1,0.33333333333333337,3,4,5,0.06529850746268656,0.008869179600886914,3,1,3,4,3,0,8,6,3,3
137,1,0.41111111111111115,1,2,3,0.013681592039800995,0.008869179600886914,0,3,7,6,0,3,6,3,5,3
138,0,0.6111111111111112,3,3,5,0.11194029850746268,0.048780487804878044,1,2,4,6,0,3,6,6,4,5
139,0,0.6111111111111112,4,4,5,0.11007462686567164,0.048780487804878044,2,2,4,6,3,3,8,8,4,3
140,1,0.6888888888888889,5,5,5,0.2052238805970149,0.048780487804878044,1,2,4,2,3,3,9,9,2,1
141,1,0.1555555555555556,2,4,5,0.036069651741293535,0.006651884700665186,2,3,3,2,0,3,8,4,4,5
142,1,0.4666666666666667,3,6,6,0.041044776119402986,0.048780487804878044,1,2,4,0,0,3,9,5,2,3
143,1,0.2555555555555556,3,3,4,0.07773631840796019,0.026607538802660754,1,1,5,1,3,0,7,7,5,1
144,1,0.35555555555555557,0,1,5,0.00746268656716418,0.006651884700665186,0,3,3,0,0,3,2,0,6,1
145,1,0.3888888888888889,0,3,3,0.009950248756218902,0.004434589800443461,2,0,4,6,0,0,9,0,0,5
146,0,0.22222222222222227,2,4,4,0.05534825870646766,0.024390243902439025,2,0,1,6,3,0,9,5,0,2
147,1,0.8555555555555555,2,2,5,0.15733830845771143,0.0687361419068736,0,3,5,6,0,3,4,4,3,2
148,0,0.5888888888888889,1,1,2,0.015547263681592038,0.05543237250554324,2,0,6,0,0,0,5,5,0,5
149,1,0.4,5,3,6,0.054104477611940295,0.006651884700665186,0,4,6,4,0,1,5,8,2,5
150,1,0.4666666666666667,5,3,5,0.1623134328358209,0.03991130820399113,2,2,2,1,3,0,6,9,5,2
151,0,0.43333333333333335,3,5,5,0.11442786069651742,0.03991130820399113,1,2,4,1,0,3,9,6,3,3
152,1,0.7111111111111111,3,4,5,0.10074626865671642,0.05986696230598669,1,1,3,6,0,3,8,6,2,3
153,1,0.6333333333333333,0,2,2,0.09639303482587064,0.04212860310421286,0,0,7,6,0,0,9,0,0,3
154,1,0.30000000000000004,1,4,4,0.049129353233830844,0.04212860310421286,0,1,3,0,0,0,9,2,3,3
155,1,0.04444444444444451,0,2,3,0.006218905472636815,0.004434589800443461,2,0,5,0,0,0,6,0,0,6
156,1,0.3666666666666667,0,2,3,0.0037313432835820864,0.006651884700665186,0,2,4,0,0,0,6,0,6,6
157,0,0.6555555555555556,4,3,5,0.14054726368159204,0.05543237250554324,1,3,4,6,0,1,6,8,3,5
158,1,0.43333333333333335,3,3,4,0.08893034825870647,0.03325942350332594,0,1,5,6,0,3,7,7,1,5
159,1,0.2444444444444445,2,3,4,0.008084577114427859,0.004434589800443461,2,2,1,6,3,0,7,5,6,3
160,1,0.1555555555555556,2,3,6,0.010572139303482588,0.004434589800443461,1,3,5,6,0,1,5,3,3,8
161,0,0.2666666666666667,0,2,5,0.01305970149253731,0.006651884700665186,1,3,4,6,0,3,4,0,6,5
162,0,0.2666666666666667,0,3,4,0.010572139303482588,0.004434589800443461,2,1,5,6,0,0,7,0,5,6
163,1,0.3444444444444445,2,2,5,0.09639303482587064,0.03325942350332594,2,2,1,1,3,0,4,4,9,3
164,1,0.05555555555555558,0,3,5,0.006218905472636815,0.004434589800443461,1,3,1,0,0,0,6,0,7,2
165,0,0.8333333333333333,4,3,4,0.1318407960199005,0.050997782705099776,1,3,6,6,0,3,7,9,3,3
166,0,0.3777777777777778,4,4,5,0.09079601990049752,0.03547671840354767,2,1,5,6,3,0,8,8,3,2
167,1,0.4777777777777778,3,5,5,0.14427860696517414,0.04656319290465632,2,0,5,1,3,0,9,6,0,2
168,1,0.48888888888888893,1,1,1,0.4950248756218905,0.21951219512195122,0,1,2,6,0,0,9,9,3,2
169,1,0.5777777777777777,1,1,3,0.03855721393034826,0.044345898004434586,1,1,5,0,0,0,3,3,5,5
170,0,0.6888888888888889,3,4,4,0.014303482587064674,0.050997782705099776,3,1,4,0,3,0,9,7,3,3
171,1,0.4444444444444445,3,4,4,0.13557213930348258,0.04656319290465632,1,1,4,1,3,0,9,7,3,1
172,1,0.9777777777777777,3,5,5,0.11504975124378108,0.057649667405764965,3,0,4,6,1,0,9,6,0,2
173,0,0.8777777777777778,2,2,2,0.023009950248756218,0.03991130820399113,2,0,6,0,3,0,9,9,0,3
174,1,0.4777777777777778,1,3,6,0.022388059701492533,0.008869179600886914,2,2,7,6,0,3,5,1,4,5
175,1,0.0888888888888889,0,3,6,0.006218905472636815,0.004434589800443461,1,3,5,6,0,3,5,0,6,8
176,0,0.7666666666666666,3,5,6,0.1013681592039801,0.050997782705099776,2,1,4,6,3,0,8,5,3,3
177,1,0.4666666666666667,2,2,4,0.009950248756218902,0.011086474501108647,2,2,7,0,0,0,5,5,5,5
178,1,0.1666666666666667,1,2,4,0.006218905472636815,0.004434589800443461,1,1,7,6,0,0,5,2,2,5
179,0,0.41111111111111115,0,3,5,0.011815920398009952,0.004434589800443461,2,1,2,6,0,0,6,0,5,6
180,1,0.2555555555555556,1,3,3,0.04291044776119403,0.024390243902439025,2,0,3,6,3,0,9,3,0,4
181,0,0.7222222222222222,3,2,5,0.19962686567164178,0.06430155210643015,2,1,4,1,3,0,4,6,5,3
182,0,0.48888888888888893,2,2,3,0.15796019900497513,0.03991130820399113,2,0,3,1,3,0,6,6,0,4
183,0,0.32222222222222224,1,3,6,0.01492537313432836,0.006651884700665186,3,1,5,6,3,0,5,1,9,5
184,1,0.2666666666666667,2,3,4,0.10199004975124377,0.026607538802660754,1,1,7,1,0,0,7,5,3,3
185,1,0.7888888888888889,1,3,4,0.09950248756218905,0.07095343680709534,0,1,7,6,0,0,7,2,3,6
186,1,0.35555555555555557,4,4,4,0.08830845771144279,0.03325942350332594,1,2,5,6,0,3,9,9,2,3
187,0,0.8888888888888888,3,2,5,0.06343283582089553,0.044345898004434586,2,3,5,6,0,3,4,6,5,5
188,0,0.23333333333333336,0,4,4,0.04477611940298507,0.03104212860310421,1,2,3,6,0,0,9,0,5,5
189,0,0.7666666666666666,1,3,4,0.10012437810945274,0.050997782705099776,1,1,6,6,0,0,7,2,2,5
190,1,0.0,0,1,3,0.00746268656716418,0.004434589800443461,0,2,6,6,0,0,3,0,9,5
191,0,0.9333333333333333,5,4,6,0.11380597014925373,0.057649667405764965,2,1,6,6,1,0,6,8,2,1
192,1,0.7333333333333334,4,5,5,0.08706467661691542,0.050997782705099776,2,2,7,6,3,3,9,8,3,3
193,1,0.06666666666666671,1,4,6,0.00746268656716418,0.004434589800443461,2,2,5,6,0,3,6,1,3,5
194,0,0.2888888888888889,6,5,6,0.10199004975124377,0.03547671840354767,2,3,6,1,3,3,8,9,3,2
195,1,0.06666666666666671,1,3,6,0.01305970149253731,0.006651884700665186,0,3,3,6,0,3,5,1,3,2
196,1,0.4777777777777778,1,1,1,0.04291044776119403,0.013303769401330379,0,1,1,1,0,0,9,9,3,2
197,1,0.4444444444444445,0,2,4,0.008084577114427859,0.004434589800443461,3,1,1,6,3,0,5,0,9,6
198,1,0.8444444444444444,1,4,5,0.10634328358208955,0.06208425720620842,1,2,5,6,0,0,8,2,5,2
199,0,0.5555555555555556,5,6,6,0.13805970149253732,0.048780487804878044,2,2,6,1,3,3,9,8,2,3
200,0,0.4,5,5,5,0.09017412935323382,0.03104212860310421,2,2,5,1,3,3,9,9,2,3
201,1,0.3777777777777778,3,4,5,0.1623134328358209,0.03547671840354767,1,2,2,2,0,3,8,6,4,3
202,1,0.33333333333333337,0,1,4,0.009328358208955223,0.004434589800443461,1,1,4,6,0,0,2,0,3,5
203,1,0.2666666666666667,5,6,6,0.4353233830845771,0.07760532150776053,1,2,2,3,0,1,9,8,1,3
204,1,0.2666666666666667,4,5,6,0.15671641791044777,0.028824833702882482,2,3,4,2,0,3,8,6,3,5
205,0,0.6888888888888889,1,4,4,0.041044776119402986,0.07317073170731707,2,1,3,0,0,0,9,2,3,5
206,1,0.20000000000000004,1,4,5,0.011815920398009952,0.004434589800443461,1,2,3,6,0,3,8,2,4,5
207,1,0.0888888888888889,4,5,6,0.10696517412935323,0.01995565410199556,2,0,2,2,1,0,8,6,0,1
208,1,0.43333333333333335,3,2,4,0.10385572139303482,0.044345898004434586,0,3,2,6,0,3,5,7,4,1
209,1,0.6222222222222222,3,4,4,0.14987562189054726,0.04656319290465632,1,2,3,1,0,3,9,7,3,3
210,1,0.04444444444444451,3,4,4,0.05472636815920398,0.015521064301552106,2,0,2,1,3,0,9,7,0,2
211,0,0.7888888888888889,3,1,3,0.11629353233830846,0.08203991130820398,1,1,6,6,0,0,3,9,2,3
212,0,0.4555555555555556,2,3,6,0.17039800995024876,0.03991130820399113,1,1,7,2,0,0,5,3,3,3
213,0,0.43333333333333335,4,6,6,0.07524875621890548,0.03325942350332594,3,2,6,6,3,3,9,6,3,3
214,0,0.4555555555555556,5,4,5,0.14925373134328357,0.0376940133037694,3,1,6,1,3,3,8,9,1,3
215,0,0.32222222222222224,2,3,3,0.03482587064676616,0.03104212860310421,1,1,7,0,0,0,9,6,3,3
216,1,0.4444444444444445,2,5,6,0.018656716417910446,0.011086474501108647,3,2,4,6,3,0,8,3,5,3
217,1,0.21111111111111114,3,5,5,0.046019900497512436,0.006651884700665186,1,2,1,3,0,3,9,6,3,3
218,1,0.2555555555555556,3,5,5,0.07587064676616916,0.026607538802660754,1,3,4,1,0,3,9,6,3,3
219,0,0.7222222222222222,4,3,5,0.11131840796019901,0.05543237250554324,2,1,5,6,1,0,6,8,5,2
220,1,0.10000000000000003,4,4,5,0.05970149253731343,0.01995565410199556,3,0,6,1,1,0,8,8,0,2
221,0,0.4666666666666667,5,5,5,0.07027363184079602,0.03991130820399113,1,1,5,6,3,3,9,9,1,1
222,0,0.4222222222222223,0,2,6,0.008706467661691544,0.004434589800443461,2,2,3,6,3,0,3,0,6,4
223,1,0.4555555555555556,2,2,2,0.12686567164179102,0.044345898004434586,1,1,3,1,0,0,9,9,3,3
224,1,0.10000000000000003,0,2,5,0.0031094527363184077,0.0022172949002217286,1,2,4,6,0,0,4,0,6,2
225,1,0.5111111111111111,3,5,5,0.09763681592039801,0.0376940133037694,1,1,3,6,3,0,9,6,3,1
226,0,0.6333333333333333,3,2,4,0.138681592039801,0.044345898004434586,1,2,4,1,0,0,5,7,5,3
227,0,0.9777777777777777,1,2,4,0.033582089552238806,0.05986696230598669,2,1,5,0,0,0,5,2,5,6
228,2,0.7111111111111111,4,5,5,0.5329601990049752,0.31485587583148555,2,3,5,6,3,3,9,8,3,3
229,1,0.4444444444444445,3,3,4,0.09514925373134328,0.0376940133037694,0,3,7,6,0,3,7,7,3,3
230,1,0.6777777777777778,3,4,5,0.08644278606965174,0.050997782705099776,2,2,3,6,3,3,8,6,3,4
231,1,0.4555555555555556,0,3,3,0.031094527363184077,0.004434589800443461,1,0,6,2,0,0,9,0,0,2
232,1,0.4777777777777778,1,4,6,0.016791044776119403,0.006651884700665186,3,2,5,6,3,0,6,1,9,3
233,0,0.2666666666666667,5,5,5,0.13681592039800994,0.03325942350332594,1,3,4,1,3,3,9,9,3,1
234,1,0.10000000000000003,4,4,6,0.05099502487562189,0.022172949002217293,2,3,5,6,3,3,6,6,3,3
235,1,0.1777777777777778,2,2,6,0.08768656716417911,0.03104212860310421,3,2,4,1,3,0,3,3,5,5
236,0,0.11111111111111116,3,5,5,0.06840796019900497,0.028824833702882482,3,0,2,6,1,0,9,6,0,2
237,0,0.5,2,2,4,0.061567164179104475,0.04212860310421286,1,1,6,6,0,0,5,5,3,3
238,0,0.3666666666666667,2,4,4,0.13495024875621892,0.03325942350332594,1,1,7,1,0,0,9,5,3,3
239,0,0.11111111111111116,5,2,5,0.37935323383084574,0.09534368070953436,1,3,1,1,0,1,4,9,3,5
240,0,0.2555555555555556,2,3,3,0.05161691542288557,0.024390243902439025,1,2,4,6,0,3,9,6,3,5
241,1,0.6666666666666667,3,5,6,0.061567164179104475,0.07317073170731707,2,3,4,0,0,3,8,5,3,5
